"price"
-0.06310
0.08524
0.09690
-0.00381
-0.04095
0.15524
0.18452
-0.10119
0.18214
0.30000
-0.13310
0.17524
-0.10167
0.23690
-0.00357
0.28929
0.32238
0.30333
-0.37619
-0.20667
-0.35214
-0.77500
-0.30690
-0.25619
-0.06714
0.05833
0.13214
0.01333
0.38357
0.08238
-0.01119
0.01262
0.01476
0.15476
0.00333
0.05548
-0.15833
0.16167
0.09071
0.06524
-0.28952
0.04000
0.07500
-0.16214
0.18905
0.03357
0.06548
0.17357
-0.00929
0.14381
0.21500
0.17190
-0.25429
-0.17405
0.00857
-0.16357
-0.23762
0.34310
0.16976
-0.03786
