"price"
-0.05929
0.06976
0.21214
-0.02857
0.02476
0.09452
0.11381
-0.11119
0.20619
0.21048
-0.02548
0.11667
-0.04976
0.22381
0.03262
0.21119
0.39714
0.25095
-0.34095
-0.25071
-0.47929
-0.79738
-0.29071
-0.28524
0.20143
0.00690
0.04095
0.09571
0.35119
0.07262
0.04738
-0.02643
-0.07476
0.21905
0.06810
0.00095
-0.15952
0.12095
0.09571
0.14238
-0.31452
0.04571
0.05786
-0.04524
0.12500
0.04000
0.08738
0.17024
0.13476
0.32048
0.10810
0.22881
-0.22048
-0.13167
0.09786
0.01524
-0.26095
0.07119
0.06452
-0.07476
